T,TM,Tm,H,PP,VV,V,VM,PM10
28.2,36.6,21.7,44,0,4,6.7,11.1,37.76
28.5,36.2,21.6,41,0,4,9.3,18.3,43.1
28.5,36.2,21.6,41,0,4,9.3,18.3,46.7
27.9,35.3,20.4,47,0,4,8.7,40.7,30
12.2,20.8,4.2,74,0,1.6,0.9,3.5,87.4
12.2,20.8,4.2,74,0,1.6,0.9,3.5,95.68
13.6,21.5,8.4,73,0,1.9,1.1,3.5,90.68
13.6,21.5,8.4,73,0,1.9,1.1,3.5,59.99
11.8,21.5,5.5,73,0,2.6,2.8,3.5,65.86
11.8,21.5,5.5,73,0,2.6,2.8,3.5,91.04
12.3,20.2,5.6,71,0,3.2,0.4,3.5,64.62
12.3,20.2,5.6,71,0,3.2,0.4,3.5,89.94
12.8,20.2,6.7,72,0,1.9,2.8,5.4,97.12
12.8,20.2,6.7,72,0,1.9,2.8,5.4,122.52
11.9,19.7,7.2,70,0,3.1,3.7,9.4,125.4
11.9,19.7,7.2,70,0,3.1,3.7,9.4,62.29
14,22.6,9.2,67,1.02,3.1,3.5,5.4,65.68
14,22.6,9.2,67,1.02,3.1,3.5,5.4,72.54
11.6,20.6,5.3,63,0,4,6.5,9.4,106.87
11.6,20.6,5.3,63,0,4,6.5,9.4,119.42
10.4,20.2,4.5,69,0,3.1,3.5,7.6,118.59
10.4,20.2,4.5,69,0,3.1,3.5,7.6,61.67
14.7,22.5,8.6,64,0,3.5,1.3,3.5,67.91
14.7,22.5,8.6,64,0,3.5,1.3,3.5,62.04
14.8,22.5,10.6,73,0,2.3,0.4,1.9,64.56
14.8,22.5,10.6,73,0,2.3,0.4,1.9,49.86
15,22,10.9,74,1.02,3.2,5.6,11.1,89.26
15,22,10.9,74,1.02,3.2,5.6,11.1,105.3
12.4,19.4,7.8,72,0,3.4,2,5.4,73.73
12.4,19.4,7.8,72,0,3.4,2,5.4,57.51
11.2,18.9,5.5,71,0.25,3.1,3.3,7.6,59.18
11.2,18.9,5.5,71,0.25,3.1,3.3,7.6,49.87
10.5,18.4,5.9,73,0,2.7,3.3,5.4,87.46
10.5,18.4,5.9,73,0,2.7,3.3,5.4,49.4
13.8,20.8,8.4,69,0,3.2,2.6,7.6,44.47
13.8,20.8,8.4,69,0,3.2,2.6,7.6,71
14.3,20.8,9.4,69,0,2.9,2,3.5,73.77
14.3,20.8,9.4,69,0,2.9,2,3.5,77.68
13.1,20.9,6.3,74,0,2.3,1.5,5.4,82.66
13.1,20.9,6.3,74,0,2.3,1.5,5.4,112.6
12.8,20.9,8.2,84,0,1.4,0.2,1.9,104.59
12.8,20.9,8.2,84,0,1.4,0.2,1.9,120.09
14.2,23.4,10,83,6.1,2.6,8,14.8,121.89
14.2,23.4,10,83,6.1,2.6,8,14.8,106.22
11.8,17.8,7.5,80,25.91,3.1,5.2,7.6,106.62
11.8,17.8,7.5,80,25.91,3.1,5.2,7.6,112.63
12.1,20.8,6.7,74,0,2.6,4.4,7.6,128.72
12.1,20.8,6.7,74,0,2.6,4.4,7.6,135.12
17.6,23.4,12,69,0,1.9,1.1,3.5,151.62
17.6,23.4,12,69,0,1.9,1.1,3.5,133.85
17.3,23.4,13.2,75,0.25,3.1,3.9,7.6,108.33
17.3,23.4,13.2,75,0.25,3.1,3.9,7.6,109.52
16.9,23.3,13.6,82,2.03,2.6,1.3,3.5,111.12
16.9,23.3,13.6,82,2.03,2.6,1.3,3.5,117.94
17.1,22.7,11.8,71,7.87,4,2.4,9.4,106.01
17.1,22.7,11.8,71,7.87,4,2.4,9.4,108.1
17.2,22.7,13.1,68,0,3.7,2.6,7.6,130.66
17.2,22.7,13.1,68,0,3.7,2.6,7.6,159.18
19.5,25.5,14.2,70,0.76,4,3.1,7.6,150.29
19.5,25.5,14.2,70,0.76,4,3.1,7.6,180.25
15.5,22.7,8.1,67,0,3.1,4.8,18.3,224.22
15.5,22.7,8.1,67,0,3.1,4.8,18.3,184.04
15.1,22.8,9.6,68,0,3.4,5,9.4,181.54
15.1,22.8,9.6,68,0,3.4,5,9.4,169.19
12.3,22.8,8.8,72,2.03,3.7,3.7,7.6,190.12
12.3,22.8,8.8,72,2.03,3.7,3.7,7.6,190.28
15.3,22.6,7,69,0,3.7,4.8,7.6,215.41
15.3,22.6,7,69,0,3.7,4.8,7.6,166.58
15.2,22.6,13.2,75,0,3.1,1.9,7.6,115.54
15.2,22.6,13.2,75,0,3.1,1.9,7.6,125.5
16.9,23.5,11.3,79,9.91,3.7,2.8,5.4,84.99
16.9,23.5,11.3,79,9.91,3.7,2.8,5.4,72.48
17.3,24.9,10,68,0,3.7,2.6,7.6,80.15
17.3,24.9,10,68,0,3.7,2.6,7.6,131.65
16.5,24.9,11,69,0,3.7,2,5.4,157.59
16.5,24.9,11,69,0,3.7,2,5.4,157.15
17.5,24.6,10.1,69,0,4,3.1,7.6,165.89
17.5,24.6,10.1,69,0,4,3.1,7.6,173.66
16.4,25.3,12.7,72,0,3.5,2.8,3.5,162.86
16.4,25.3,12.7,72,0,3.5,2.8,3.5,122.19
15.4,24.2,11,72,0.25,4,2.6,11.1,70.69
15.4,24.2,11,72,0.25,4,2.6,11.1,100.77
17.8,25,8.6,59,1.02,3.7,5.6,11.1,154.54
17.8,25,8.6,59,1.02,3.7,5.6,11.1,157.63
21.4,29.4,13.9,49,0,4,1.9,7.6,144.04
21.4,29.4,13.9,49,0,4,1.9,7.6,199.37
23.6,30,17.9,40,0,4,3.3,9.4,125.61
23.6,30,17.9,40,0,4,3.3,9.4,76.48
24,30,15.8,37,0,4,4.1,9.4,93.05
24,30,15.8,37,0,4,4.1,9.4,138.26
17.4,26.7,13.4,75,0.25,3.5,1.9,5.4,64.7
17.4,26.7,13.4,75,0.25,3.5,1.9,5.4,74.34
20.8,28.2,12,58,0,4,5.6,9.4,91.07
20.8,28.2,12,58,0,4,5.6,9.4,105.75
22.8,30.5,15.1,56,0,4,3.1,11.1,98.34
22.8,30.5,15.1,56,0,4,3.1,11.1,120.04
24.5,33.8,17.9,44,0,4,6.5,11.1,140.46
24.5,33.8,17.9,44,0,4,6.5,11.1,171.84
24.4,32,17.4,44,0,4,4.8,9.4,167.97
24.4,32,17.4,44,0,4,4.8,9.4,135.81
25.1,32.8,17.2,45,0,4,2.2,7.6,133.11
25.1,32.8,17.2,45,0,4,2.2,7.6,111.77
26.2,33.6,17.2,45,0,4,3.1,9.4,196.46
26.2,33.6,17.2,45,0,4,3.1,9.4,153.17
28.7,36,20.2,50,0,4,3,9.4,175.51
28.7,36,20.2,50,0,4,3,9.4,141
24.3,34.9,19.4,68,8.89,4,2.6,5.4,53.35
24.3,34.9,19.4,68,8.89,4,2.6,5.4,70.49
26.3,33.4,19.2,58,0,4,2.4,5.4,63.12
26.3,33.4,19.2,58,0,4,2.4,5.4,77.26
26.3,34.3,20.1,52,0,4,5,9.4,101.09
26.3,34.3,20.1,52,0,4,5,9.4,82.55
28.4,36,20.6,44,0,4,6.5,9.4,119.91
28.4,36,20.6,44,0,4,6.5,9.4,132.54
29.2,37.5,21.2,41,0,3.5,8.3,22.2,119.96
29.2,37.5,21.2,41,0,3.5,8.3,22.2,87.11
23.9,32.4,16.2,57,0,4,2.8,5.4,83.61
23.9,32.4,16.2,57,0,4,2.8,5.4,132.94
26.4,33.5,18.4,49,0,4,1.3,5.4,65.55
26.4,33.5,18.4,49,0,4,1.3,5.4,79.99
27.8,35.2,19.2,48,0,4,0.9,3.5,131.32
27.8,35.2,19.2,48,0,4,0.9,3.5,156.58
31.6,38.4,23.8,45,0,4,1.1,3.5,99.91
31.6,38.4,23.8,45,0,4,1.1,3.5,140.37
31.1,38.4,22.7,43,0,4,5.7,14.8,145.42
31.1,38.4,22.7,43,0,4,5.7,14.8,135.76
31.4,38.2,23.3,37,0,4,11.1,16.5,102.2
31.4,38.2,23.3,37,0,4,11.1,16.5,94.86
31.32,38.32,23.16,41,0,4,6.94,13.22,108.55
30.6,39.6,24.4,35.2,0.812,4,4.68,9.72,106.42
33.2,40.9,27.6,30,0,4,4.3,9.4,65.35
33.2,40.9,27.6,30,0,4,4.3,9.4,48.29
28.8,39.6,23,39,2.03,4,5.9,11.1,43.82
28.8,39.6,23,39,2.03,4,5.9,11.1,47.36
29,37,20.8,38,0,4,3,7.6,63.04
29,37,20.8,38,0,4,3,7.6,108.09
31.2,40.4,19.7,27,0,4,1.9,7.6,165.63
31.2,40.4,19.7,27,0,4,1.9,7.6,120.83
31.8,40.4,22.1,31,0,4,3.5,9.4,73.4
31.8,40.4,22.1,31,0,4,3.5,9.4,85.04
33.3,40.9,21.8,30,0,4,4.8,11.1,79.2
33.3,40.9,21.8,30,0,4,4.8,11.1,90.27
30.6,38.5,23,38,0.51,3.7,5.2,22.2,134
30.6,38.5,23,38,0.51,3.7,5.2,22.2,96.89
28.6,38.5,22.3,48,1.02,4,1.9,5.4,127.45
28.6,38.5,22.3,48,1.02,4,1.9,5.4,140.69
28.3,35.4,23.8,53,0,4,3.3,7.6,93.67
28.3,35.4,23.8,53,0,4,3.3,7.6,72.37
28.3,35.4,23.8,53,0,4,3.3,7.6,82.96
28.3,35.4,23.8,53,0,4,3.3,7.6,107.88
28.3,35.4,23.8,53,0,4,3.3,7.6,108.46
28.3,35.4,23.8,53,0,4,3.3,7.6,123.37
28.3,35.4,23.8,53,0,4,3.3,7.6,89.37
29.56666667,39.06666667,24.4,44.33333333,2.37,3.9,4.4,13.13333333,68.76
29.56666667,39.06666667,24.4,44.33333333,2.37,3.9,4.4,13.13333333,65.41
29.56666667,39.06666667,24.4,44.33333333,2.37,3.9,4.4,13.13333333,66.36
30.6,41.3,25.6,37,0,4,4.4,9.4,85.01
30.6,41.3,25.6,37,0,4,4.4,9.4,82.32
27.5,34.6,22,59,7.11,3.7,4.4,20.6,115.3
27.5,34.6,22,59,7.11,3.7,4.4,20.6,112.21
29.1,36.4,22,43,2.03,4,5,9.4,85.81
29.1,36.4,22,43,2.03,4,5,9.4,93.7
33.8,42.4,24.4,25,0,4,2.8,7.6,95.92
33.8,42.4,24.4,25,0,4,2.8,7.6,94.22
35,43.5,24.6,24,0,4,2,7.6,103.76
35,43.5,24.6,24,0,4,2,7.6,109.57
34.9,44.2,26.1,29,0,3.7,1.1,5.4,118.21
34.9,44.2,26.1,29,0,3.7,1.1,5.4,114.12
35.9,44.2,27.4,35,0,4,4.4,7.6,94.73
35.9,44.2,27.4,35,0,4,4.4,7.6,96.46
36.1,42.4,31.8,39,0,4,4.3,9.4,92.66
36.1,42.4,31.8,39,0,4,4.3,9.4,97.01
32.8,41.5,26,46,0.51,3.4,8,11.1,84.86
32.8,41.5,26,46,0.51,3.4,8,11.1,114.47
32.3,40.2,26.3,37,1.02,4,2.2,5.4,140.48
32.3,40.2,26.3,37,1.02,4,2.2,5.4,105.55
34.1,41.7,25.7,32,0,4,8.3,42.4,36.33
34.1,41.7,25.7,32,0,4,8.3,42.4,59.53
35.2,42.7,26.8,29,0,4,2,11.1,65.46
35.2,42.7,26.8,29,0,4,2,11.1,68.15
34.1,42,21.8,40,10.92,4,1.1,3.5,78.66
34.1,42,21.8,40,10.92,4,1.1,3.5,96.77
34.1,41.8,26.4,29,0,4,2.8,9.4,122.12
34.1,41.8,26.4,29,0,4,2.8,9.4,112.13
33.6,42.6,25.1,31,0.0625,4,5.2,11.1,56.88
33.6,42.6,25.1,31,0.0625,4,5.2,11.1,53.56
31.8,37.8,25.5,46,0,4,2.8,5.4,75.25
31.8,37.8,25.5,46,0,4,2.8,5.4,90.3
29.7,37.8,25.6,56,0.25,3.7,2.2,5.4,101.85
29.7,37.8,25.6,56,0.25,3.7,2.2,5.4,64.03
30.8,38.2,24.1,50,0,4,2.6,9.4,38.03
30.8,38.2,24.1,50,0,4,2.6,9.4,26.33
31.1,37.5,25.2,65,0,4,2.2,5.4,46.29
31.1,37.5,25.2,65,0,4,2.2,5.4,53.89
33.7,38.7,27.5,53,0,4,4.1,7.6,76.2
33.7,38.7,27.5,53,0,4,4.1,7.6,69.71
32.7,38.7,28.5,51,0,3.5,3.5,7.6,38.09
32.7,38.7,28.5,51,0,3.5,3.5,7.6,40.9
33.9,40.5,30,53,0,4,4.8,11.1,23.2
33.9,40.5,30,53,0,4,4.8,11.1,36.5
35,40.5,29.4,52,0,3.7,2.8,7.6,70.76
35,40.5,29.4,52,0,3.7,2.8,7.6,76.08
35.4,38.7,32.8,63,0,2.3,0.6,1.9,82.33
35.4,38.7,32.8,63,0,2.3,0.6,1.9,83.69
32.5,36.7,27,66,21.08,4,2,5.4,78.67
32.5,36.7,27,66,21.08,4,2,5.4,74.23
30.3,36.7,27.2,77,0,4,3,7.6,42.79
30.3,36.7,27.2,77,0,4,3,7.6,38.24
28.9,35.6,24,80,28.96,3.2,5.7,9.4,34.29
28.9,35.6,24,80,28.96,3.2,5.7,9.4,37.65
27.3,32.8,23.8,83,11.94,4,2,7.6,40.33
27.3,32.8,23.8,83,11.94,4,2,7.6,34.12
23.8,31.8,23,91,18.03,3.5,3.3,7.6,15.78
23.8,31.8,23,91,18.03,3.5,3.3,7.6,41.48
26.9,30,22.8,84,28.96,3.5,2.4,5.4,29.51
26.9,30,22.8,84,28.96,3.5,2.4,5.4,39.66
29.2,32.8,27.4,83,0,4,1.1,3.5,26.47
29.2,32.8,27.4,83,0,4,1.1,3.5,31.54
30.9,34.2,27.1,73,3.05,4,2.4,7.6,22.03
30.9,34.2,27.1,73,3.05,4,2.4,7.6,29.32
30.8,35,26.6,71,0,4,2,7.6,34.61
30.8,35,26.6,71,0,4,2,7.6,47.96
27.6,37.2,26.2,83,4.06,3.1,5.2,11.1,40.6
27.6,37.2,26.2,83,4.06,3.1,5.2,11.1,33.44
27.9,31.8,26.4,82,26.92,3.7,2.4,5.4,24.49
27.9,31.8,26.4,82,26.92,3.7,2.4,5.4,35.91
28.1,31.8,25.6,80,0,4,2.6,7.6,42.72
28.1,31.8,25.6,80,0,4,2.6,7.6,44.12
27.1,32,24.2,85,13.97,4,2,5.4,44.85
27.1,32,24.2,85,13.97,4,2,5.4,56.62
29.5,33.4,26.2,78,3.05,4,2.8,5.4,82.04
29.5,33.4,26.2,78,3.05,4,2.8,5.4,61.39
27.1,33.4,24.4,85,0,3.5,0.9,7.6,55.98
27.1,33.4,24.4,85,0,3.5,0.9,7.6,41.58
29.3,32.9,26,78,7.11,4,1.9,3.5,22.51
29.3,32.9,26,78,7.11,4,1.9,3.5,20.39
29.9,35.6,27.6,75,0,4,1.3,3.5,32.33
29.9,35.6,27.6,75,0,4,1.3,3.5,24.44
32.2,35.8,27.8,68,0,4,1.1,3.5,35.61
32.2,35.8,27.8,68,0,4,1.1,3.5,43.08
29.1,32.5,26.4,77,3.05,4,2,9.4,60.12
29.1,32.5,26.4,77,3.05,4,2,9.4,25.87
30.4,34.8,28.1,77,0,4,6.3,11.1,21.14
30.4,34.8,28.1,77,0,4,6.3,11.1,34.79
30.7,35.2,26.1,73,0,4,3.3,11.1,40.93
30.7,35.2,26.1,73,0,4,3.3,11.1,59.34
30,35.2,27.7,79,0,4,2.4,5.4,62.94
30,35.2,27.7,79,0,4,2.4,5.4,64.91
27.7,33,24.3,80,24.89,4,1.9,5.4,46.16
27.7,33,24.3,80,24.89,4,1.9,5.4,27.26
28.5,33.4,24,78,2.03,4,2.2,5.4,49.93
28.5,33.4,24,78,2.03,4,2.2,5.4,51.32
29.6,34,24.8,77,0,4,3.7,7.6,50.6
29.6,34,24.8,77,0,4,3.7,7.6,58.59
27.1,34.6,24.6,85,41.91,3.5,1.5,3.5,68.68
27.1,34.6,24.6,85,41.91,3.5,1.5,3.5,70.6
30.3,35,26.2,72,19.05,4,0.9,3.5,32.19
30.3,35,26.2,72,19.05,4,0.9,3.5,51.9
31.7,35.7,26.6,70,0,4,1.3,3.5,80.7
31.7,35.7,26.6,70,0,4,1.3,3.5,76.43
31.5,35.5,27.2,74,0,4,2,7.6,44.33
31.5,35.5,27.2,74,0,4,2,7.6,58.34
29.3,35.3,27.4,78,0,4,2.4,5.4,55.25
29.3,35.3,27.4,78,0,4,2.4,5.4,64.99
30.3,34.8,26.7,77,0,3.7,2.2,3.5,46.79
30.3,34.8,26.7,77,0,3.7,2.2,3.5,62.46
31.2,35.5,27.6,74,0,4,0.9,3.5,114.38
31.2,35.5,27.6,74,0,4,0.9,3.5,148.36
30.4,34.8,27,75,0,4,2.8,5.4,115.35
30.4,34.8,27,75,0,4,2.8,5.4,88.82
30.5,34.7,27.8,77,0,4,2,5.4,79.69
30.5,34.7,27.8,77,0,4,2,5.4,89.31
30.7,34.9,26.4,75,0,4,1.9,3.5,94.4
30.7,34.9,26.4,75,0,4,1.9,3.5,94.14
30.7,34.2,27.7,76,0,4,2.6,5.4,44.34
30.7,34.2,27.7,76,0,4,2.6,5.4,43.99
30.1,33.7,26.7,74,0,4,3,5.4,31.15
30.1,33.7,26.7,74,0,4,3,5.4,39.63
29.9,33.5,27.1,75,0,4,2,3.5,49
29.9,33.5,27.1,75,0,4,2,3.5,55.63
28,33.8,25,71,0,4,3.7,7.6,42.99
28,33.8,25,71,0,4,3.7,7.6,41.22
28.1,33.6,23.7,69,0,4,0.9,3.5,34.31
28.1,33.6,23.7,69,0,4,0.9,3.5,27.91
28.4,34.5,24.4,70,0,4,0.6,1.9,44.53
28.4,34.5,24.4,70,0,4,0.6,1.9,60.45
28.9,33,25.7,74,0,3.2,3,5.4,69.69
28.9,33,25.7,74,0,3.2,3,5.4,71.11
27.4,32.8,25,82,0.51,3.7,2,7.6,84.64
27.4,32.8,25,82,0.51,3.7,2,7.6,74.5
25.6,31.6,22.2,87,14.99,3.7,2.4,9.4,54.51
25.6,31.6,22.2,87,14.99,3.7,2.4,9.4,69.81
25.8,30.6,22.4,79,0.51,4,1.5,5.4,55.75
25.8,30.6,22.4,79,0.51,4,1.5,5.4,59.04
26.8,32,21,71,0,4,0.9,3.5,72.21
26.8,32,21,71,0,4,0.9,3.5,50.9
26.3,32,21.4,71,0,4,3,5.4,69.58
26.3,32,21.4,71,0,4,3,5.4,57.26
24.6,30.8,20.6,75,0,4,3,7.6,44.88
24.6,30.8,20.6,75,0,4,3,7.6,44.48
24.8,31.1,18.9,69,0,4,0.4,1.9,29.54
24.8,31.1,18.9,69,0,4,0.4,1.9,33.6
24.9,31.2,20.1,69,0,4,0.2,1.9,64.54
24.9,31.2,20.1,69,0,4,0.2,1.9,68.82
25.3,31.7,18.6,72,0,3.5,1.1,3.5,82.24
25.3,31.7,18.6,72,0,3.5,1.1,3.5,88.27
25.4,31.8,20.2,73,0,3.5,0.4,3.5,45.56
25.4,31.8,20.2,73,0,3.5,0.4,3.5,72.38
26.1,30.1,21.9,88,0.51,4.3,4.3,11.1,72.38
26.1,30.1,21.9,88,0.51,4.3,4.3,11.1,72.38
26.8,31,22.2,88,0,4.5,8.5,20.6,72.38
26.8,31,22.2,88,0,4.5,8.5,20.6,72.38
26.9,31,23,85,0,4.7,8.5,18.3,72.38
26.9,31,23,85,0,4.7,8.5,18.3,72.38
25.3,30.4,21.6,86,0,3.7,6.7,18.3,72.38
25.3,30.4,21.6,86,0,3.7,6.7,18.3,72.38
25.6,30.2,21.7,82,0,4.2,5.9,18.3,72.38
25.6,30.2,21.7,82,0,4.2,5.9,18.3,72.38
24.8,29.8,20,80,0,4.2,6.9,20.6,72.38
24.8,29.8,20,80,0,4.2,6.9,20.6,72.38
23.9,29.2,18.3,71,0,5.1,6.9,22.2,72.38
23.9,29.2,18.3,71,0,5.1,6.9,22.2,72.38
23.3,29.2,18.8,72,0,4.5,5.6,18.3,72.38
23.3,29.2,18.8,72,0,4.5,5.6,18.3,72.38
24.8,29.8,18.7,76,0,5.3,5.9,18.3,72.38
24.8,29.8,18.7,76,0,5.3,5.9,18.3,72.38
24,29.2,19,71,0,4.5,7.8,22.2,72.38
24,29.2,19,71,0,4.5,7.8,22.2,72.38
24.2,29.2,19,71,0,5.1,8,22.2,72.38
24.2,29.2,19,71,0,5.1,8,22.2,72.38
24.3,29.4,19.1,66,0,5.6,8.7,22.2,72.38
24.3,29.4,19.1,66,0,5.6,8.7,22.2,72.38
25.1,29.3,19.5,73,3.05,6.1,9.6,22.2,72.38
25.1,29.3,19.5,73,3.05,6.1,9.6,22.2,72.38
25.3,30,21,73,0,5,8.1,22.2,72.38
25.3,30,21,73,0,5,8.1,22.2,72.38
25.3,29.6,21.6,74,0,5.1,10.4,24.1,72.38
25.3,29.6,21.6,74,0,5.1,10.4,24.1,72.38
25.3,30,20.4,74,0,5.1,9.1,24.1,72.38
25.3,30,20.4,74,0,5.1,9.1,24.1,72.38
25.4,30,20.5,76,0,4.5,8.9,22.2,72.38
25.4,30,20.5,76,0,4.5,8.9,22.2,72.38
25.7,30,21,69,0,5.3,10.6,22.2,72.38
25.7,30,21,69,0,5.3,10.6,22.2,72.38
25.4,30.2,20.8,73,0,5.5,11.7,24.1,72.38
25.4,30.2,20.8,73,0,5.5,11.7,24.1,72.38
26.1,31,20.3,67,0,5.8,10.9,22.2,72.38
26.1,31,20.3,67,0,5.8,10.9,22.2,72.38
25.4,31,20.3,70,0,5.3,9.6,22.2,72.38
25.4,31,20.3,70,0,5.3,9.6,22.2,72.38
25.2,30.4,20.7,69,0,5.3,10,24.1,72.38
25.2,30.4,20.7,69,0,5.3,10,24.1,72.38
26.2,31.7,21.8,76,0,4.2,9.1,20.6,72.38
26.2,31.7,21.8,76,0,4.2,9.1,20.6,72.38
26.4,32,20.4,70,0,5.1,8.9,22.2,72.38
26.4,32,20.4,70,0,5.1,8.9,22.2,72.38
26.8,34,20.3,66,0,5.6,9.6,22.2,72.38
26.8,34,20.3,66,0,5.6,9.6,22.2,72.38
25.8,32,19.8,70,0,5.5,8.7,20.6,72.38
25.8,32,19.8,70,0,5.5,8.7,20.6,72.38
25.7,31,20.1,72,0,5.6,8.9,22.2,72.38
25.7,31,20.1,72,0,5.6,8.9,22.2,72.38
26.1,31,21.4,70,0,5.5,8.3,18.3,72.38
26.1,31,21.4,70,0,5.5,8.3,18.3,72.38
25.7,32.3,19.6,63,0,6,8,20.6,72.38
25.7,32.3,19.6,63,0,6,8,20.6,72.38
27.1,32.3,21,74,0,6.1,10.9,18.3,72.38
27.1,32.3,21,74,0,6.1,10.9,18.3,72.38
27.8,32,22.8,78,0,5.8,12.8,24.1,72.38
27.8,32,22.8,78,0,5.8,12.8,24.1,72.38
28.3,31.6,24.5,75,0,6,14.4,25.9,72.38
28.3,31.6,24.5,75,0,6,14.4,25.9,72.38
28.2,31.6,25,74,0,6.3,12.2,25.9,72.38
28.2,31.6,25,74,0,6.3,12.2,25.9,72.38
28.4,32.6,23.4,74,0,6,8.3,22.2,72.38
28.4,32.6,23.4,74,0,6,8.3,22.2,72.38
28.5,33.1,25,73,0,6.4,10,24.1,72.38
28.5,33.1,25,73,0,6.4,10,24.1,72.38
28.3,33.1,23.9,74,0,5.8,10.7,22.2,72.38
28.3,33.1,23.9,74,0,5.8,10.7,22.2,72.38
28,33,23,73,0,5.1,10.2,22.2,72.38
28,33,23,73,0,5.1,10.2,22.2,72.38
28,33.1,24.1,73,0,6.1,8.5,16.5,72.38
28,33.1,24.1,73,0,6.1,8.5,16.5,72.38
28.8,33.1,23.2,71,0,6,13.1,24.1,72.38
28.8,33.1,23.2,71,0,6,13.1,24.1,72.38
28.4,33.1,24,73,0,6.6,11.5,22.2,72.38
28.4,33.1,24,73,0,6.6,11.5,22.2,72.38
28.6,35.2,21.8,70,0,6.1,10.6,20.6,72.38
28.6,35.2,21.8,70,0,6.1,10.6,20.6,72.38
27.9,34,23.1,73,0,5.3,8.1,20.6,72.38
27.9,34,23.1,73,0,5.3,8.1,20.6,72.38
29.1,36,23,62,0,5.3,9.4,18.3,72.38
29.1,36,23,62,0,5.3,9.4,18.3,72.38
29.1,34.3,23.9,73,0,5.1,11.7,22.2,72.38
29.1,34.3,23.9,73,0,5.1,11.7,22.2,72.38
28.7,33.3,24.2,71,0,5.6,10.4,18.3,72.38
28.7,33.3,24.2,71,0,5.6,10.4,18.3,72.38
29.2,33.7,24.3,70,0,6.1,12.2,22.2,72.38
29.2,33.7,24.3,70,0,6.1,12.2,22.2,72.38
30.1,34.3,26.3,72,0,6.4,12.2,24.1,72.38
30.1,34.3,26.3,72,0,6.4,12.2,24.1,72.38
29.8,34.2,26,76,0,6.8,12.4,22.2,72.38
29.8,34.2,26,76,0,6.8,12.4,22.2,72.38
30.6,36.3,26,71,0,6.8,14.3,24.1,72.38
30.6,36.3,26,71,0,6.8,14.3,24.1,72.38
31.4,38,25.9,71,0,6.6,16.3,25.9,72.38
31.4,38,25.9,71,0,6.6,16.3,25.9,72.38
30.6,35.6,26.2,73,0,6.6,13.3,22.2,72.38
30.6,35.6,26.2,73,0,6.6,13.3,22.2,72.38
30.6,35,25.6,73,0,6.8,13.9,27.8,72.38
30.6,35,25.6,73,0,6.8,13.9,27.8,72.38
30.7,34.8,26.7,72,0,7.1,12.4,24.1,72.38
30.7,34.8,26.7,72,0,7.1,12.4,24.1,72.38
28.3,34,23,71,0,5.5,12,25.9,72.38
28.3,34,23,71,0,5.5,12,25.9,72.38
29.2,34.4,22,63,0.76,6.8,14.4,24.1,72.38
29.2,34.4,22,63,0.76,6.8,14.4,24.1,72.38
26.3,34.4,23.9,87,3.05,5.3,5.6,18.3,72.38
26.3,34.4,23.9,87,3.05,5.3,5.6,18.3,72.38
30.2,35.3,25.2,72,0,7.4,10.4,20.6,72.38
30.2,35.3,25.2,72,0,7.4,10.4,20.6,72.38
30.7,34.3,26.1,71,0,7.4,12.6,22.2,72.38
30.7,34.3,26.1,71,0,7.4,12.6,22.2,72.38
30.7,34.7,27,74,0,6.9,11.9,24.1,72.38
30.7,34.7,27,74,0,6.9,11.9,24.1,72.38
30,35.8,22.5,67,6.1,6.6,12.4,22.2,72.38
30,35.8,22.5,67,6.1,6.6,12.4,22.2,72.38
30.8,35.4,26.9,72,0,7.2,11.1,22.2,72.38
30.8,35.4,26.9,72,0,7.2,11.1,22.2,72.38
30.4,34.6,26,73,0,7.1,11.1,24.1,72.38
30.4,34.6,26,73,0,7.1,11.1,24.1,72.38
31.9,37.1,27.3,74,0,6.6,15.2,22.2,72.38
31.9,37.1,27.3,74,0,6.6,15.2,22.2,72.38
32.1,38,25,69,0,6.1,14.6,24.1,72.38
32.1,38,25,69,0,6.1,14.6,24.1,72.38
31.1,37.7,24.4,73,0,5.8,12.6,22.2,72.38
31.1,37.7,24.4,73,0,5.8,12.6,22.2,72.38
31.4,36,26.8,71,0,6.6,13.7,25.9,72.38
31.4,36,26.8,71,0,6.6,13.7,25.9,72.38
31.7,36.2,27.1,71,0,6.1,13.1,25.9,72.38
31.7,36.2,27.1,71,0,6.1,13.1,25.9,72.38
32.1,37,26.5,69,0,6.4,12,18.3,72.38
32.1,37,26.5,69,0,6.4,12,18.3,72.38
28.4,35.2,26.7,81,0,5.6,7.2,14.8,72.38
28.4,35.2,26.7,81,0,5.6,7.2,14.8,72.38
29.2,32,25.9,84,7.87,5.5,8,14.8,72.38
29.2,32,25.9,84,7.87,5.5,8,14.8,72.38
28.8,34.1,26.6,84,11.94,6,6.3,18.3,72.38
28.8,34.1,26.6,84,11.94,6,6.3,18.3,72.38
32.5,38.2,27,70,0,6.8,16.5,24.1,72.38
32.5,38.2,27,70,0,6.8,16.5,24.1,72.38
33.1,39.6,27.4,65,0,6.4,15.7,22.2,72.38
33.1,39.6,27.4,65,0,6.4,15.7,22.2,72.38
33.7,40,27.7,64,0,6.4,17,25.9,72.38
33.7,40,27.7,64,0,6.4,17,25.9,72.38
34.6,42.4,29.5,56,0,6.6,16.7,24.1,72.38
34.6,42.4,29.5,56,0,6.6,16.7,24.1,72.38
