T,TM,Tm,H,PP,VV,V,VM,NO2
34.3,42,26.9,55,0,6.4,15.4,24.1,15.36
32.8,39,27.6,69,0,6.4,15.4,24.1,21.16
32.8,39,27.6,69,0,6.4,15.4,24.1,22.21
32.8,39.2,28,72,0,6.1,14.3,22.2,20.68
32.8,39.2,28,72,0,6.1,14.3,22.2,19.08
33,39,28.6,70,0,6.3,15.4,24.1,19.12
33,39,28.6,70,0,6.3,15.4,24.1,17.96
33,39,28.6,70,0,6.3,15.4,24.1,18.91
33,39,28.6,70,0,6.3,15.4,24.1,23.03
33,39,28.6,70,0,6.3,15.4,24.1,16.99
33,39,28.6,70,0,6.3,15.4,24.1,17.93
33.05,38.9,27.9,65,0,6.5,17.9,25.95,16.8
33.05,38.9,27.9,65,0,6.5,17.9,25.95,18.33
33.1,39,27.8,63,0,6.6,16.5,27.8,23.57
33.1,39,27.8,63,0,6.6,16.5,27.8,18.51
33,38.8,28,67,0,6.4,19.3,24.1,15.18
33,38.8,28,67,0,6.4,19.3,24.1,13.12
32.9,38.6,28.5,70,0,6.1,15.2,25.9,16.5
32.9,38.6,28.5,70,0,6.1,15.2,25.9,21.57
34.2,41,28.6,65,0,6.1,14.6,22.2,22.9
34.2,41,28.6,65,0,6.1,14.6,22.2,22.73
33.8,40.1,29.1,65,0,6.3,15.9,22.2,18.13
33.8,40.1,29.1,65,0,6.3,15.9,22.2,18.26
32.8,39.6,28.6,73,0,5.8,16.1,24.1,16.17
32.8,39.6,28.6,73,0,5.8,16.1,24.1,19.09
34.2,41,29,59,0,6.3,15.2,27.8,18.11
34.2,41,29,59,0,6.3,15.2,27.8,18.57
34.4,42,28.6,56,0,6.3,14.4,24.1,17.75
34.4,42,28.6,56,0,6.3,14.4,24.1,18.94
33.2,41.1,28.2,59,0,6.3,13,27.8,20.83
33.2,41.1,28.2,59,0,6.3,13,27.8,16.86
33.3,38.7,28.2,69,0,6.3,16.3,27.8,15.56
33.3,38.7,28.2,69,0,6.3,16.3,27.8,23.47
34,41,27.2,60,0,6.6,16.7,24.1,20.61
34,41,27.2,60,0,6.6,16.7,24.1,16.49
35.1,43,28.1,54,0,6.4,17.8,27.8,22.26
35.1,43,28.1,54,0,6.4,17.8,27.8,30.79
33.1,41.6,29,55,0,6.6,16.7,24.1,33.02
33.1,41.6,29,55,0,6.6,16.7,24.1,25.52
35.3,41,27.5,49,0,6.8,16.9,27.8,23.39
35.3,41,27.5,49,0,6.8,16.9,27.8,16.89
35.1,42,27.4,49,0,6.1,18.1,25.9,17.69
35.1,42,27.4,49,0,6.1,18.1,25.9,17.47
34.2,42,30.4,53,0,6,16.3,25.9,16.78
34.2,42,30.4,53,0,6,16.3,25.9,13.39
32.8,41.1,26,62,28.96,5.8,11.3,27.8,13.7
32.8,41.1,26,62,28.96,5.8,11.3,27.8,14.07
32.7,41,26.6,60,0,6.1,10.7,16.5,14.06
32.7,41,26.6,60,0,6.1,10.7,16.5,16.94
31.8,36.5,24.1,67,5.08,5.8,11.3,22.2,17.24
31.8,36.5,24.1,67,5.08,5.8,11.3,22.2,15.33
30.2,37,25,71,0,5,10,18.3,12.65
30.2,37,25,71,0,5,10,18.3,18.01
31.8,38,22.5,69,20.07,5.3,12.6,25.9,19.07
31.8,38,22.5,69,20.07,5.3,12.6,25.9,18.82
33.7,38,29.3,53,0,6,16.9,25.9,16.93
33.7,38,29.3,53,0,6,16.9,25.9,14.8
33.3,38.1,29.2,57,10.035,6,15.2,24.1,13.98
33.3,38.1,29.2,57,10.035,6,15.2,24.1,13.79
33.3,39,27.8,58,0,6.6,16.7,24.1,17.31
33.3,39,27.8,58,0,6.6,16.7,24.1,19.81
34.1,40,29,49,0,6.1,15.4,22.2,15.76
34.1,40,29,49,0,6.1,15.4,22.2,15.8
34,40.2,28.8,51,0,6.6,16.1,25.9,14.85
34,40.2,28.8,51,0,6.6,16.1,25.9,14.73
32.4,39.6,26.6,58,8.51,5.3,16.9,24.1,14.12
32.4,39.6,26.6,58,8.51,5.3,16.9,24.1,15.41
31.2,37.6,25.3,65,17.02,6.6,14.4,27.8,17.05
31.2,37.6,25.3,65,17.02,6.6,14.4,27.8,18.79
30.5,36,26,68,0,6,13.1,22.2,18.59
30.5,36,26,68,0,6,13.1,22.2,22.76
30.5,39,25,69,0,6,13.7,27.8,13.94
30.5,39,25,69,0,6,13.7,27.8,11.39
30.2,37.1,26.3,72,0,5.8,13.7,22.2,13.31
30.2,37.1,26.3,72,0,5.8,13.7,22.2,12.45
31.3,37,25.4,71,1.02,6.3,12.8,22.2,12.23
31.3,37,25.4,71,1.02,6.3,12.8,22.2,11.72
31.2,36,26.2,67,53.47,6.3,12.8,22.2,11.32
31.2,36,26.2,67,53.47,6.3,12.8,22.2,11.69
29,36.1,24,82,77.98,5.1,13.5,27.8,10.29
29,36.1,24,82,77.98,5.1,13.5,27.8,10.53
29.7,33.1,23.2,72,28.96,5.5,13,24.1,11.14
29.7,33.1,23.2,72,28.96,5.5,13,24.1,12
31,35,26.6,67,0,6.1,13.1,24.1,12.44
31,35,26.6,67,0,6.1,13.1,24.1,11.43
32.6,37,26.1,64,0,6.6,16.1,24.1,13.74
32.6,37,26.1,64,0,6.6,16.1,24.1,16.38
31.7,36.4,26.5,69,0,6.4,13.3,22.2,12.87
31.7,36.4,26.5,69,0,6.4,13.3,22.2,11.77
31.3,34.6,26.2,70,0,5.8,13.7,27.8,10.73
31.3,34.6,26.2,70,0,5.8,13.7,27.8,10.79
32.2,36,26.4,65,0,6.3,13.9,25.9,10.05
32.2,36,26.4,65,0,6.3,13.9,25.9,10.69
31.9,35,27,62,0,6.1,16.9,27.8,9.1
31.9,35,27,62,0,6.1,16.9,27.8,11.32
32.8,37,27.6,58,5.97,5.6,15,25.9,13.2
32.8,37,27.6,58,5.97,5.6,15,25.9,14.87
33.1,37,26.6,55,0,6.4,14.8,25.9,13.87
33.1,37,26.6,55,0,6.4,14.8,25.9,12.89
31.9,38,27,67,11.94,5.8,14.3,22.2,15.4
31.9,38,27,67,11.94,5.8,14.3,22.2,13.42
30.9,38,25.8,73,1.02,5.6,11.5,22.2,24.13
30.9,38,25.8,73,1.02,5.6,11.5,22.2,19.29
31.6,37.2,24.8,71,1.02,6.1,13.9,22.2,21.5
31.6,37.2,24.8,71,1.02,6.1,13.9,22.2,20.03
31.2,37,25,74,26.92,6.8,12.6,24.1,12.98
31.2,37,25,74,26.92,6.8,12.6,24.1,13.05
30.8,35,25,77,28.96,6.3,12.8,27.8,12.82
30.8,35,25,77,28.96,6.3,12.8,27.8,10.65
30.9,35,25.4,75,8.89,5.5,14.4,24.1,14.28
30.9,35,25.4,75,8.89,5.5,14.4,24.1,13.95
31.4,35,24.5,69,8.89,6.6,15.6,27.8,14.72
31.4,35,24.5,69,8.89,6.6,15.6,27.8,13.39
31.9,36,26.8,66,0,7.2,16.1,24.1,16.52
31.9,36,26.8,66,0,7.2,16.1,24.1,15.91
32,36,27,66,0,7.2,15.9,22.2,14.07
32,36,27,66,0,7.2,15.9,22.2,15.97
30.6,35.6,24,74,0,5.5,11.1,18.3,13.91
30.6,35.6,24,74,0,5.5,11.1,18.3,22.06
30.5,33,25,73,4.06,6.1,8.5,14.8,29.32
30.5,33,25,73,4.06,6.1,8.5,14.8,17.79
30.1,34,24.6,76,0,6.1,10.7,25.9,18.36
30.1,34,24.6,76,0,6.1,10.7,25.9,26.17
29.5,34,23.8,78,17.02,6.1,10.9,37,33.68
29.5,34,23.8,78,17.02,6.1,10.9,37,28.92
31.7,37,26.6,59,0,6.3,10.4,27.8,27.43
31.7,37,26.6,59,0,6.3,10.4,27.8,22.47
32,37,27.6,57,0,6.6,12.6,25.9,15.48
32,37,27.6,57,0,6.6,12.6,25.9,16.78
31.4,36.4,27.2,62,0,6.6,10.9,22.2,19.41
31.4,36.4,27.2,62,0,6.6,10.9,22.2,19.12
29,34.6,24.4,73,5.08,6.3,11.7,22.2,18.98
29,34.6,24.4,73,5.08,6.3,11.7,22.2,18.15
29.6,35,24.4,72,0,6.6,12.2,22.2,17.94
29.6,35,24.4,72,0,6.6,12.2,22.2,13.83
29.7,35.2,25.6,72,3.05,6.3,14.6,33.5,13.01
29.7,35.2,25.6,72,3.05,6.3,14.6,33.5,14.86
27.3,31.2,22.2,89,95,4.7,5,16.5,15.61
27.3,31.2,22.2,89,95,4.7,5,16.5,13.89
28.6,32,25.2,83,3.05,4.8,6.1,13,11.17
28.6,32,25.2,83,3.05,4.8,6.1,13,15.3
28.3,32,25.2,83,0,5.3,3.7,14.8,14.58
28.3,32,25.2,83,0,5.3,3.7,14.8,14.19
27.7,33.1,24,84,10.92,5.3,14.4,24.1,11.86
27.7,33.1,24,84,10.92,5.3,14.4,24.1,11.17
28.8,32.6,23.2,80,23.88,6.4,11.9,20.6,10
28.8,32.6,23.2,80,23.88,6.4,11.9,20.6,10.78
29.3,32.4,25.2,78,0,6.3,8.7,20.6,10.19
29.3,32.4,25.2,78,0,6.3,8.7,20.6,15.6
29.7,34,24.9,75,0,6.1,9.6,16.5,12.43
29.7,34,24.9,75,0,6.1,9.6,16.5,12.6
30.3,34.6,25.7,75,0,5.1,10.2,20.6,21.97
30.3,34.6,25.7,75,0,5.1,10.2,20.6,12.54
30,34.1,25.6,74,0,6.1,10.9,22.2,20.28
30,34.1,25.6,74,0,6.1,10.9,22.2,10.09
30.3,35,25.6,72,0,6,10.2,18.3,12.09
30.3,35,25.6,72,0,6,10.2,18.3,12.66
30,34.2,26.1,73,0,6,9.4,18.3,11.51
30,34.2,26.1,73,0,6,9.4,18.3,12.03
29.9,34,25.6,73,0,5.8,10.2,18.3,11.2
29.9,34,25.6,73,0,5.8,10.2,18.3,11.1
30.2,34.2,26.6,73,3.935,6,9.3,22.2,13.29
30.2,34.2,26.6,73,3.935,6,9.3,22.2,15.86
29.8,34,26,76,0,5.5,12,22.2,21.19
29.8,34,26,76,0,5.5,12,22.2,26.96
29.1,33.9,25,80,7.87,4.5,10.6,18.3,19.62
29.1,33.9,25,80,7.87,4.5,10.6,18.3,23.21
27.3,31.5,24.6,89,2.03,4.5,5.9,24.1,16.54
27.3,31.5,24.6,89,2.03,4.5,5.9,24.1,18.49
26.8,30.6,24,92,3.05,3.9,4.1,18.3,21.13
26.8,30.6,24,92,3.05,3.9,4.1,18.3,19.49
25.9,29.9,23.4,95,65.02,3.4,5.4,13,18.27
25.9,29.9,23.4,95,65.02,3.4,5.4,13,17.87
27.8,31,24,84,0,4.5,5.9,20.6,17.69
27.8,31,24,84,0,4.5,5.9,20.6,16.88
27.7,31.2,23.4,86,25.91,3.9,6.1,18.3,16.87
27.7,31.2,23.4,86,25.91,3.9,6.1,18.3,18.47
28.7,32.4,24.8,80,0,4.2,6.9,20.6,16.14
28.7,32.4,24.8,80,0,4.2,6.9,20.6,19.05
27.3,30,23.6,85,17.02,5.6,5,16.5,19.46
27.3,30,23.6,85,17.02,5.6,5,16.5,19.74
28.6,33,23.5,79,0.25,5.8,6.5,18.3,20.28
28.6,33,23.5,79,0.25,5.8,6.5,18.3,17.66
28.8,32.6,24.5,80,0,5.1,6.7,18.3,20.27
28.8,32.6,24.5,80,0,5.1,6.7,18.3,14.61
28.6,32.6,25.2,78,0,4.3,6.7,18.3,14.2
28.6,32.6,25.2,78,0,4.3,6.7,18.3,15.44
29.3,34,24.7,73,0,2.4,6.1,14.8,12.66
29.3,34,24.7,73,0,2.4,6.1,14.8,11.47
30.3,35,24.5,72,0,3.1,7.6,11.1,10.95
30.3,35,24.5,72,0,3.1,7.6,11.1,11.49
29.1,34.7,25.4,81,26.92,2.7,6.3,20.6,8.69
29.1,34.7,25.4,81,26.92,2.7,6.3,20.6,10.41
28.5,32.3,24.6,72,0,5.1,12.2,24.1,12.16
28.5,32.3,24.6,72,0,5.1,12.2,24.1,17.3
28.1,32,24.8,79,13.46,5.3,11.3,24.1,17.47
28.1,32,24.8,79,13.46,5.3,11.3,24.1,17.3
27.1,31.8,24.4,86,7.11,4.8,8.1,25.9,18.69
27.1,31.8,24.4,86,7.11,4.8,8.1,25.9,14.35
27.2,32,24.8,89,3.05,3.7,5.9,11.1,16.68
27.2,32,24.8,89,3.05,3.7,5.9,11.1,20.24
27.7,32,24.6,85,21.08,3.9,9.4,20.6,13.76
27.7,32,24.6,85,21.08,3.9,9.4,20.6,12.32
27.6,31.6,23.5,81,42.93,4,11.5,20.6,11.1
27.6,31.6,23.5,81,42.93,4,11.5,20.6,10.68
26.9,30.8,23,78,1.02,4.7,10,24.1,17.08
26.9,30.8,23,78,1.02,4.7,10,24.1,23.7
27.4,31,22.7,78,0,3.9,12.4,22.2,22.62
27.4,31,22.7,78,0,3.9,12.4,22.2,20.03
28.5,32,25,79,0,4.8,13.9,22.2,16.9
28.5,32,25,79,0,4.8,13.9,22.2,24.68
25.3,29.8,23.4,96,70.1,2.4,9.4,27.8,20.2
25.3,29.8,23.4,96,70.1,2.4,9.4,27.8,16.43
26.7,29,23.2,92,58.93,4.3,6.3,24.1,18.37
26.7,29,23.2,92,58.93,4.3,6.3,24.1,17.4
27.8,30.2,25.2,81,7.87,4.5,11.5,22.2,14.74
27.8,30.2,25.2,81,7.87,4.5,11.5,22.2,14.87
25.4,29.4,23.6,92,4.06,2.9,4.6,11.1,14.02
25.4,29.4,23.6,92,4.06,2.9,4.6,11.1,13.12
26.7,30,23.1,79,3.05,4.7,7.4,24.1,12.12
26.7,30,23.1,79,3.05,4.7,7.4,24.1,13.74
27.3,31,23.5,74,0,5.3,9.6,22.2,10.92
27.3,31,23.5,74,0,5.3,9.6,22.2,13.26
26.3,29.6,23.4,86,21.08,3.5,6.9,24.1,19.32
26.3,29.6,23.4,86,21.08,3.5,6.9,24.1,14.12
25.3,28.6,22.9,90,4.06,3.2,6.1,18.3,10.61
25.3,28.6,22.9,90,4.06,3.2,6.1,18.3,8.77
26.1,30.6,22.5,79,0,5.1,6.5,20.6,10.09
26.1,30.6,22.5,79,0,5.1,6.5,20.6,19.96
27.1,31,24,74,0,4.8,10.4,27.8,22
27.1,31,24,74,0,4.8,10.4,27.8,18.01
26.9,31,23,75,0,4.8,9.8,22.2,17.3
26.9,31,23,75,0,4.8,9.8,22.2,17.74
26.5,30,22.4,77,0,4,11.7,22.2,12.71
26.5,30,22.4,77,0,4,11.7,22.2,13.64
26.2,30,22,78,1.02,4.3,8,18.3,18.11
26.2,30,22,78,1.02,4.3,8,18.3,14.71
25.2,30,21.1,79,0,4.2,5.7,16.5,14.09
25.2,30,21.1,79,0,4.2,5.7,16.5,19.91
26.1,30,21.1,74,17.02,4.7,7,18.3,8.63
26.1,30,21.1,74,17.02,4.7,7,18.3,8.88
27.1,30,23.2,82,6.1,4.5,12,22.2,10.95
27.1,30,23.2,82,6.1,4.5,12,22.2,12.69
25.7,30.3,22.5,91,27.94,3.7,5.6,13,8.88
25.7,30.3,22.5,91,27.94,3.7,5.6,13,8.7
27.6,31,23.4,84,33.02,4.5,6.7,16.5,11.08
27.6,31,23.4,84,33.02,4.5,6.7,16.5,14.62
27.9,31.2,24,82,0,4.8,7.8,18.3,9.2
27.9,31.2,24,82,0,4.8,7.8,18.3,13.01
27.4,30.1,24,76,2.03,4.8,14.4,24.1,16.26
27.4,30.1,24,76,2.03,4.8,14.4,24.1,15.71
25.8,30.2,21.4,74,0,4.8,8.9,18.3,14.04
25.8,30.2,21.4,74,0,4.8,8.9,18.3,9.72
25.4,31,20.3,73,0,5,6.5,14.8,10.66
25.4,31,20.3,73,0,5,6.5,14.8,6.21
24.7,30,20,74,0,3.1,7.4,18.3,8.54
24.7,30,20,74,0,3.1,7.4,18.3,10.56
24.7,29.7,18.2,69,0,3.9,6.7,18.3,7.98
24.7,29.7,18.2,69,0,3.9,6.7,18.3,8.75
25.7,31,20,64,0,4.7,8,18.3,16.97
25.7,31,20,64,0,4.7,8,18.3,15.67
27.2,31,23,71,0,6,9.6,18.3,10.34
27.2,31,23,71,0,6,9.6,18.3,10.44
26.6,32,21.6,71,0,5.6,9.1,20.6,9.17
26.6,32,21.6,71,0,5.6,9.1,20.6,8.1
26,31.5,21.6,71,0,5.8,10.4,25.9,10.09
26,31.5,21.6,71,0,5.8,10.4,25.9,8.56
24.9,31,19.5,74,0,4.8,6.5,18.3,8.49
24.9,31,19.5,74,0,4.8,6.5,18.3,5.39
25.9,31,19.8,69,0,5,7,14.8,7.85
25.9,31,19.8,69,0,5,7,14.8,6.91
26.6,31.6,21,70,0,5,8.5,16.5,4.38
26.6,31.6,21,70,0,5,8.5,16.5,7.22
27.2,32.4,22,74,0,4.7,5.7,13,4.85
27.2,32.4,22,74,0,4.7,5.7,13,4.91
27.4,31.7,22.9,71,0,4.8,7,14.8,7.21
27.4,31.7,22.9,71,0,4.8,7,14.8,9.78
26.9,31.8,22,68,0,5.6,6.5,18.3,8.57
26.9,31.8,22,68,0,5.6,6.5,18.3,10.39
26.8,32,21.6,70,0,5.1,10.2,20.6,8.54
26.8,32,21.6,70,0,5.1,10.2,20.6,7.25
27.4,32.1,21.8,66,0,5.6,12.4,25.9,7.11
27.4,32.1,21.8,66,0,5.6,12.4,25.9,7.27
27.8,32,22,62,0,5.8,11.1,18.3,9.43
27.8,32,22,62,0,5.8,11.1,18.3,9.57
27.5,32.2,23.2,69,0,4.8,13,25.9,7.9
27.5,32.2,23.2,69,0,4.8,13,25.9,12.74
26.9,32,22.8,71,0,4.8,10.2,24.1,12.87
26.9,32,22.8,71,0,4.8,10.2,24.1,11.18
26.8,33,21,65,0,4.2,8.9,22.2,10.38
26.8,33,21,65,0,4.2,8.9,22.2,12.1
26.5,34,20.9,61,0,4.7,9.1,18.3,9.58
26.5,34,20.9,61,0,4.7,9.1,18.3,8.34
26.8,31.9,20.6,62,0,5.3,11.1,20.6,8.1
26.8,31.9,20.6,62,0,5.3,11.1,20.6,5.33
26.8,32,22,62,0,6,9.3,18.3,7.29
26.8,32,22,62,0,6,9.3,18.3,5.34
27.3,31.5,20.5,70,0,5,15.4,25.9,4.08
27.3,31.5,20.5,70,0,5,15.4,25.9,4.48
28.3,32.4,23.4,72,0,5.3,13.1,22.2,8.04
28.3,32.4,23.4,72,0,5.3,13.1,22.2,11.64
28.3,33,24,70,0,4.8,10.7,22.2,10.61
28.3,33,24,70,0,4.8,10.7,22.2,11.07
28.2,33.2,23.6,72,0,4.8,11.1,25.9,12.01
28.2,33.2,23.6,72,0,4.8,11.1,25.9,6.92
28.2,32.4,24,66,0,5.8,10.6,18.3,5.65
28.2,32.4,24,66,0,5.8,10.6,18.3,6.85
27.9,32.4,23,64,0,4.2,10.2,20.6,11.18
27.9,32.4,23,64,0,4.2,10.2,20.6,5.39
28.6,33.2,23.4,66,0,5,9.4,18.3,4.25
28.6,33.2,23.4,66,0,5,9.4,18.3,3.73
28.8,32.5,25.5,73,0,6.1,13,27.8,4.1
28.8,32.5,25.5,73,0,6.1,13,27.8,4.13
28.7,32.6,24,70,0,6.4,11.5,22.2,5.59
28.7,32.6,24,70,0,6.4,11.5,22.2,5.48
28.2,33.4,22.4,68,0,6.8,11.1,24.1,5.17
28.2,33.4,22.4,68,0,6.8,11.1,24.1,4.57
28.1,33.5,23.6,73,0,6,9.8,22.2,5.09
28.1,33.5,23.6,73,0,6,9.8,22.2,5.29
27.4,33.2,24,72,0,5.5,7.6,18.3,5.42
27.4,33.2,24,72,0,5.5,7.6,18.3,5.26
28.8,33.2,24.5,70,0,5.5,11.1,24.1,7.32
28.8,33.2,24.5,70,0,5.5,11.1,24.1,10.11
29.7,34.6,24.6,67,0,5.5,11.5,22.2,5.45
29.7,34.6,24.6,67,0,5.5,11.5,22.2,8.16
29.2,35.2,24.5,71,0,6,11.9,25.9,8.74
29.2,35.2,24.5,71,0,6,11.9,25.9,15.18
29.4,34.5,25.1,71,0,5.8,12.8,25.9,14.36
29.4,34.5,25.1,71,0,5.8,12.8,25.9,12.19
28.7,33.5,24.4,72,0,5.8,9.3,18.3,11.32
28.7,33.5,24.4,72,0,5.8,9.3,18.3,10.08
29.1,33.6,24.8,68,0,6.3,7.6,22.2,9.37
29.1,33.6,24.8,68,0,6.3,7.6,22.2,9.59
29,34.4,24.1,65,0,6.1,7,16.5,8.96
29,34.4,24.1,65,0,6.1,7,16.5,9.65
29.3,35,24.4,70,0,6.3,6.3,20.6,10.58
29.3,35,24.4,70,0,6.3,6.3,20.6,13.54
30.1,37,24.1,65,0,6.1,8.1,18.3,9.69
30.1,37,24.1,65,0,6.1,8.1,18.3,7.97
30.3,36.2,24.9,68,0,6.1,9.4,20.6,10.07
30.3,36.2,24.9,68,0,6.1,9.4,20.6,9.24
29.9,36.6,25.5,70,0,5.5,10.2,25.9,9.41
29.9,36.6,25.5,70,0,5.5,10.2,25.9,8.64
30.7,35.4,26.9,72,0,6.8,10.6,24.1,9.51
30.7,35.4,26.9,72,0,6.8,10.6,24.1,10.97
30.8,35.8,27.5,76,0,6.6,10.6,25.9,12.19
30.8,35.8,27.5,76,0,6.6,10.6,25.9,12.62
27.9,35.6,24,81,23.88,5.3,11.3,25.9,16.08
27.9,35.6,24,81,23.88,5.3,11.3,25.9,13.97
29.6,34.6,24.7,71,0,6.4,6.3,22.2,11.45
29.6,34.6,24.7,71,0,6.4,6.3,22.2,13.24
29.6,34.7,24.6,72,0,6.4,7.8,18.3,11.16
29.6,34.7,24.6,72,0,6.4,7.8,18.3,14.53
30.2,34.6,25.2,70,0,6.6,8.5,22.2,11.06
30.2,34.6,25.2,70,0,6.6,8.5,22.2,12.26
30.9,36.6,27.2,73,0,6.8,10.9,20.6,15.03
30.9,36.6,27.2,73,0,6.8,10.9,20.6,17.22
30.7,35.6,27,69,0,6.8,8.9,20.6,15.56
30.7,35.6,27,69,0,6.8,8.9,20.6,14.48
31.2,35.6,26.4,67,0,6.9,11.3,22.2,13.11
31.2,35.6,26.4,67,0,6.9,11.3,22.2,8.94
32.3,37.5,28.7,70,0,6,14.3,22.2,11.11
32.3,37.5,28.7,70,0,6,14.3,22.2,9.57
28.1,38,22.6,82,8.89,5.1,9.3,31.7,10.74
28.1,38,22.6,82,8.89,5.1,9.3,31.7,7.94
31.2,36,26.6,77,3.05,6.3,11.1,25.9,12.96
31.2,36,26.6,77,3.05,6.3,11.1,25.9,10
32.3,38,28,69,0,6.6,12,25.9,9.69
32.3,38,28,69,0,6.6,12,25.9,12.38
31.9,38,28.6,70,0,6.4,10.4,22.2,10.72
25.4,32,21,70,0,4.2,6.9,24.1,4.31
25.4,32,21,70,0,4.2,6.9,24.1,4.95
26,32.2,20.4,61,0,4.2,2.4,11.1,5.35
26,32.2,20.4,61,0,4.2,2.4,11.1,6.23
25.3,32.2,20.5,68,0,4.5,3.7,13,4.1
25.3,32.2,20.5,68,0,4.5,3.7,13,4.63
25.6,32.2,19.6,64,0,4.3,3.7,13,4.83
25.6,32.2,19.6,64,0,4.3,3.7,13,5.13
25.4,32.2,21,65,0,4.3,2.8,13,8.43
25.4,32.2,21,65,0,4.3,2.8,13,11.82
24.7,31.1,21.4,70,0,3.2,4.1,11.1,9.76
24.7,31.1,21.4,70,0,3.2,4.1,11.1,7.23
23.2,29.4,16.7,52,0,5.3,4.1,14.8,9.86
23.2,29.4,16.7,52,0,5.3,4.1,14.8,8.76
23.8,29.7,17.5,56,0,4.3,3.5,14.8,9.09
23.8,29.7,17.5,56,0,4.3,3.5,14.8,8.03
24,30.3,17.9,54,0,5,3.9,14.8,7.6
24,30.3,17.9,54,0,5,3.9,14.8,7.64
24.8,31,20.5,60,0,3.4,7.2,22.2,5.44
24.8,31,20.5,60,0,3.4,7.2,22.2,7.22
24.7,30,19,55,0,4.2,5.7,18.3,8.87
24.7,30,19,55,0,4.2,5.7,18.3,8.66
25.2,31,20.3,51,0,4.5,8,18.3,9.57
25.2,31,20.3,51,0,4.5,8,18.3,7.96
25.8,32,21,57,0,5.3,11.9,22.2,7.25
25.8,32,21,57,0,5.3,11.9,22.2,5
25.1,30.7,19,54,0,5,10.6,22.2,9.03
25.1,30.7,19,54,0,5,10.6,22.2,16.56
25.1,31,19,56,0,5.3,10.2,22.2,16.06
25.1,31,19,56,0,5.3,10.2,22.2,18.12
26.1,31.4,21.6,53,0,4.3,14.1,24.1,16.21
26.1,31.4,21.6,53,0,4.3,14.1,24.1,16.49
25.4,31.4,19.3,53,0,4.5,8.9,18.3,15.35
25.4,31.4,19.3,53,0,4.5,8.9,18.3,15.81
25.1,31,19.4,52,0,4.5,14.4,24.1,16.19
25.1,31,19.4,52,0,4.5,14.4,24.1,16.04
25.3,31,19.5,53,0,5.3,12.4,22.2,18.42
25.3,31,19.5,53,0,5.3,12.4,22.2,17.44
25.8,31.7,20.4,51,0,4.5,9.8,18.3,16.03
25.8,31.7,20.4,51,0,4.5,9.8,18.3,14.15
25.3,31.7,19.4,50,0,4.7,9.6,16.5,14.24
25.3,31.7,19.4,50,0,4.7,9.6,16.5,14.46
25.3,31.7,20,46,0,4.7,11.1,20.6,14.71
25.3,31.7,20,46,0,4.7,11.1,20.6,15.24
27,33.6,20.8,56,0,4.8,5.7,13,14.95
27,33.6,20.8,56,0,4.8,5.7,13,14.55
27.4,34,22.6,51,0,4.7,9.6,20.6,13.11
27.4,34,22.6,51,0,4.7,9.6,20.6,17.11
27.1,33.7,20,41,0,5.1,8.9,14.8,14.28
27.1,33.7,20,41,0,5.1,8.9,14.8,15.3
27,34.2,20,40,0,4.8,7.6,16.5,14.59
27,34.2,20,40,0,4.8,7.6,16.5,13.03
26.6,33.8,20,43,0,5,12,22.2,11.43
26.6,33.8,20,43,0,5,12,22.2,10.06
26.2,33,19.5,42,0,5.3,12.4,24.1,10.12
26.2,33,19.5,42,0,5.3,12.4,24.1,10.66
27.7,34.5,20.4,40,0,5.1,7.4,13,10.68
27.7,34.5,20.4,40,0,5.1,7.4,13,9.81
26.9,34.5,22.7,63,0,4.8,7.8,18.3,7.31
26.9,34.5,22.7,63,0,4.8,7.8,18.3,6.16
27.9,34.2,23,59,0,4.3,8.9,16.5,5.97
27.9,34.2,23,59,0,4.3,8.9,16.5,7.36
27.8,34.1,22,61,0,5.1,6.1,13,8.29
27.8,34.1,22,61,0,5.1,6.1,13,8.65
28,34.4,24,63,0,4.3,8.1,24.1,6.9
28,34.4,24,63,0,4.3,8.1,24.1,7.83
27.6,34.4,24,65,0,4.7,9.4,22.2,8.4
27.6,34.4,24,65,0,4.7,9.4,22.2,7.08
27.5,33.5,21,65,0,4.8,8.7,18.3,8.11
27.5,33.5,21,65,0,4.8,8.7,18.3,8.84
27.8,33.5,23,58,0,5.3,10,22.2,7.94
27.8,33.5,23,58,0,5.3,10,22.2,7.75
27.7,33.4,23,56,0,5,8.7,18.3,7.15
27.7,33.4,23,56,0,5,8.7,18.3,7.44
28.7,33.5,22.5,49,0,5.3,9.6,20.6,6.65
28.7,33.5,22.5,49,0,5.3,9.6,20.6,6.63
28.2,33.5,22.6,53,0,4.5,10.9,14.8,7.67
28.2,33.5,22.6,53,0,4.5,10.9,14.8,8.72
28.3,33.4,23.8,62,0,4.8,9.6,22.2,8.98
28.3,33.4,23.8,62,0,4.8,9.6,22.2,8.4
28.3,35.7,21.7,50,0,5.3,7,16.5,9.6
28.3,35.7,21.7,50,0,5.3,7,16.5,7.81
28.8,35.7,22.3,51,0,5,8.5,14.8,9.74
28.8,35.7,22.3,51,0,5,8.5,14.8,10.78
28.9,36,22.7,41,0,5.3,9.3,22.2,10.91
28.9,36,22.7,41,0,5.3,9.3,22.2,8.44
30.1,37,23.6,45,0,4.8,9.3,18.3,5.04
30.1,37,23.6,45,0,4.8,9.3,18.3,5.83
28.6,35.9,23,48,0,5,8.9,22.2,3.29
28.6,35.9,23,48,0,5,8.9,22.2,4.61
