T,TM,Tm,H,PP,VV,V,VM,PM2.5
23.8,29.5,20,74,0,6.9,10.7,14.8,20.16
23.8,29.5,20,74,0,6.9,10.7,14.8,12.63
25.2,31.2,21,70,0,6.9,5,7.6,15.92
25.2,31.2,21,70,0,6.9,5,7.6,20.67
24.7,30,21.3,69,1.02,6.9,8.1,11.1,19.51
24.7,30,21.3,69,1.02,6.9,8.1,11.1,20.53
24.2,30.8,21.4,78,0.25,6.6,5.6,7.6,21.84
24.2,30.8,21.4,78,0.25,6.6,5.6,7.6,22.29
23.6,28.4,21.6,78,1.02,6.3,5.4,9.4,21.74
23.6,28.4,21.6,78,1.02,6.3,5.4,9.4,48.41
23.4,28.4,20.6,78,1.27,6.9,11.1,18.3,68.71
23.4,28.4,20.6,78,1.27,6.9,11.1,18.3,22.83
23,27.7,20.6,83,0,6.3,9.8,18.3,23.96
23,27.7,20.6,83,0,6.3,9.8,18.3,19.12
23.8,29.5,21.3,80,1.02,6.9,6.9,14.8,22.92
23.8,29.5,21.3,80,1.02,6.9,6.9,14.8,19.15
22.6,28.5,20.6,78,11.18,6.3,8.3,11.1,24.78
22.6,28.5,20.6,78,11.18,6.3,8.3,11.1,17.68
24.1,27.8,20.4,72,0,6.9,9.4,14.8,13.45
24.1,27.8,20.4,72,0,6.9,9.4,14.8,16.59
24.2,29.4,19.8,69,0,6.9,7.4,14.8,32.55
24.2,29.4,19.8,69,0,6.9,7.4,14.8,26.32
24.7,29.9,20.5,65,0,6.9,8,14.8,38.4
24.7,29.9,20.5,65,0,6.9,8,14.8,23.22
23.6,30.4,20.5,72,0,6.3,12.2,22.2,34.28
23.6,30.4,20.5,72,0,6.3,12.2,22.2,17.34
23.8,27.4,20.6,70,0,6.9,11.7,14.8,26.79
23.8,27.4,20.6,70,0,6.9,11.7,14.8,41.28
22.1,25.4,20.4,87,2.03,6.3,12.8,18.3,32.73
22.1,25.4,20.4,87,2.03,6.3,12.8,18.3,27.15
22,25.2,20.8,88,3.05,6.9,11.9,18.3,35.57
22,25.2,20.8,88,3.05,6.9,11.9,18.3,24.46
21.8,24.8,20,90,21.08,6.3,13,22.2,31.67
21.8,24.8,20,90,21.08,6.3,13,22.2,73.77
23.1,27.6,20.6,82,19.05,6.6,6.7,9.4,45.16
23.1,27.6,20.6,82,19.05,6.6,6.7,9.4,38.44
22.8,27.4,20.7,84,0.25,6.9,7.8,11.1,20.84
22.8,27.4,20.7,84,0.25,6.9,7.8,11.1,22.61
23.2,28.4,20.5,81,9.14,6.9,7.4,11.1,24.94
23.2,28.4,20.5,81,9.14,6.9,7.4,11.1,21.73
23.5,28.4,20.2,82,11.68,6.9,3,5.4,19.3
23.5,28.4,20.2,82,11.68,6.9,3,5.4,25.83
22.8,29,20.1,86,17.53,6.9,2.4,5.4,19.25
22.8,29,20.1,86,17.53,6.9,2.4,5.4,17.2
23.2,26.8,20.8,82,16.51,6.9,5.7,11.1,20.71
23.2,26.8,20.8,82,16.51,6.9,5.7,11.1,16.46
23,27.6,20,78,0,6.9,7.2,14.8,11.71
23,27.6,20,78,0,6.9,7.2,14.8,12.57
23,28.3,20,77,0,6.9,7.8,14.8,13.43
23,28.3,20,77,0,6.9,7.8,14.8,18.21
23.9,28.2,20.4,73,0.25,6.9,8.5,14.8,42.44
23.9,28.2,20.4,73,0.25,6.9,8.5,14.8,42.44
23,28.7,20.4,80,0,6.9,9.1,14.8,34.24
23,28.7,20.4,80,0,6.9,9.1,14.8,18.77
23,26.4,20.4,77,0,6.9,8.3,14.8,18.62
23,26.4,20.4,77,0,6.9,8.3,14.8,27.42
22.3,26.8,20.3,85,0.51,6.9,5.6,11.1,27.1
22.3,26.8,20.3,85,0.51,6.9,5.6,11.1,40
22.2,26.4,20.1,84,12.95,5.5,10.4,14.8,54.83
22.2,26.4,20.1,84,12.95,5.5,10.4,14.8,73.88
23.2,27.3,20.4,78,2.29,6.9,11.9,22.2,94.17
23.2,27.3,20.4,78,2.29,6.9,11.9,22.2,92.21
23.6,27.8,20.8,76,0.25,6.9,8.3,14.8,69.3
23.6,27.8,20.8,76,0.25,6.9,8.3,14.8,47.14
24.1,27.5,21,73,0.25,6.9,10.2,14.8,52.86
24.1,27.5,21,73,0.25,6.9,10.2,14.8,61.83
25,29.8,21,69,0.51,7.4,7.4,11.1,27.77
25,29.8,21,69,0.51,7.4,7.4,11.1,30.39
25.1,30.2,21.2,69,0,6.9,7.4,9.4,23.32
25.1,30.2,21.2,69,0,6.9,7.4,9.4,26.33
24.8,30.7,21.3,69,0,6.3,7.8,11.1,20.62
24.8,30.7,21.3,69,0,6.3,7.8,11.1,30.7
24.2,27.6,21.2,75,0.25,6.3,5.9,9.4,27.07
24.2,27.6,21.2,75,0.25,6.3,5.9,9.4,20.23
24.2,29,20.6,72,1.78,6.9,5.6,7.6,21.12
24.2,29,20.6,72,1.78,6.9,5.6,7.6,42.28
25.2,29.2,21.2,68,0,6.9,5.6,7.6,44.17
25.2,29.2,21.2,68,0,6.9,5.6,7.6,36.68
23.2,28.8,20.2,82,23.62,6.9,2,7.6,41.18
23.2,28.8,20.2,82,23.62,6.9,2,7.6,37.44
23.9,28,20.2,76,1.78,6.9,3.3,7.6,35.44
23.9,28,20.2,76,1.78,6.9,3.3,7.6,33.02
23.9,28.8,21,82,0,6.3,2.4,5.4,23.08
23.9,28.8,21,82,0,6.3,2.4,5.4,22.97
23.5,30.3,20.6,82,2.03,6.3,5.2,7.6,23.25
23.5,30.3,20.6,82,2.03,6.3,5.2,7.6,13.46
24.9,29.1,18.6,68,22.1,8.9,1.1,5.4,13.96
24.9,29.1,18.6,68,22.1,8.9,1.1,5.4,27.28
23.5,30.4,19.2,81,7.87,6.9,3.1,7.6,38.2
23.5,30.4,19.2,81,7.87,6.9,3.1,7.6,55.45
24.1,29.6,21.3,76,0,6.3,0.2,1.9,57.3
24.1,29.6,21.3,76,0,6.3,0.2,1.9,39.42
23.3,29.2,20.2,80,0,6.3,3.7,7.6,23.79
23.3,29.2,20.2,80,0,6.3,3.7,7.6,21.29
24.3,30.1,19.3,71,5.59,6.3,1.3,5.4,20.31
24.3,30.1,19.3,71,5.59,6.3,1.3,5.4,28.62
24.9,29.8,21.5,75,0,7.7,2.8,7.6,28.93
24.9,29.8,21.5,75,0,7.7,2.8,7.6,30.65
26.7,30.6,21.6,63,0,6.9,2.4,5.4,23.6
26.7,30.6,21.6,63,0,6.9,2.4,5.4,25.33
24.7,30.7,21.6,73,0,6.3,3.7,7.6,24.25
24.7,30.7,21.6,73,0,6.3,3.7,7.6,27.65
23.4,27.6,20.2,75,8.89,7.7,3.9,7.6,42.91
23.4,27.6,20.2,75,8.89,7.7,3.9,7.6,38.66
23.3,27.9,21,75,0,4.8,2.8,5.4,44.46
23.3,27.9,21,75,0,4.8,2.8,5.4,48.62
22.2,28.6,20.6,90,7.87,6.3,0,6.5,46.52
22.2,28.6,20.6,90,7.87,6.3,0,6.5,49.33
21.5,26.7,19.4,86,0,6.3,5.4,11.1,35.84
21.5,26.7,19.4,86,0,6.3,5.4,11.1,35.48
22.4,27,19,79,6.1,6.9,2.8,9.4,44.27
22.4,27,19,79,6.1,6.9,2.8,9.4,43.32
22.3,27.8,19.4,86,3.05,6.3,4.1,5.4,35.24
22.3,27.8,19.4,86,3.05,6.3,4.1,5.4,38.53
22.5,25.6,19.7,82,6.86,5.8,5.7,9.4,47.81
22.5,25.6,19.7,82,6.86,5.8,5.7,9.4,42.54
23.8,27.8,18,74,0.25,6.9,3.3,5.4,30.71
23.8,27.8,18,74,0.25,6.9,3.3,5.4,25.78
24.2,29.4,21,73,0,6.9,2.4,5.4,29.66
24.2,29.4,21,73,0,6.9,2.4,5.4,52.62
24.4,29.5,20.6,67,0,6.9,2.4,5.4,52.64
24.4,29.5,20.6,67,0,6.9,2.4,5.4,24.74
24.7,30.9,18.6,66,0,6,1.9,3.5,22.52
24.7,30.9,18.6,66,0,6,1.9,3.5,30.92
24.4,28.4,21.8,75,3.05,6.9,3.1,5.4,40.57
24.4,28.4,21.8,75,3.05,6.9,3.1,5.4,39.29
24.3,29.2,21.2,74,0,6.3,0.9,3.5,31.1
24.3,29.2,21.2,74,0,6.3,0.9,3.5,39.5
22.9,28,18.5,66,0,6.9,3.5,5.4,53.93
22.9,28,18.5,66,0,6.9,3.5,5.4,64.35
22.3,28.8,18.8,80,0,6.9,3.7,7.6,45.19
22.3,28.8,18.8,80,0,6.9,3.7,7.6,39.36
22.7,26.8,19.4,83,2.79,6.3,2,5.4,34.68
22.7,26.8,19.4,83,2.79,6.3,2,5.4,26.9
23.6,29.4,19.8,72,0,6.9,3.1,5.4,26.66
23.6,29.4,19.8,72,0,6.9,3.1,5.4,34.51
22.3,29.8,20.2,84,10.92,6.9,3.9,5.4,37.86
22.3,29.8,20.2,84,10.92,6.9,3.9,5.4,28.25
22.4,27.6,20.4,79,0,6.6,2.4,5.4,41.13
22.4,27.6,20.4,79,0,6.6,2.4,5.4,42.19
22.4,28.5,18.6,73,0,6.9,4.1,7.6,44.82
22.4,28.5,18.6,73,0,6.9,4.1,7.6,44.48
21.9,27.3,16.7,71,0,7.4,4.6,5.4,45.49
21.9,27.3,16.7,71,0,7.4,4.6,5.4,52.63
21.9,28.3,20,79,0.25,6.9,4.6,9.4,46.45
21.9,28.3,20,79,0.25,6.9,4.6,9.4,43.42
21.2,24.6,20,93,1.78,5.5,3.3,5.4,46.36
21.2,24.6,20,93,1.78,5.5,3.3,5.4,52.07
21.4,24,19.7,84,6.86,5.8,5.2,7.6,35.27
21.4,24,19.7,84,6.86,5.8,5.2,7.6,33.79
21.1,24.5,19.4,79,0.51,6.3,4.1,7.6,29.27
21.1,24.5,19.4,79,0.51,6.3,4.1,7.6,30.66
20.3,24.5,15.8,86,0.51,5.5,1.1,5.4,43.83
20.3,24.5,15.8,86,0.51,5.5,1.1,5.4,49.51
20.2,24.9,17.8,87,0,4,4.3,7.6,45.3
20.2,24.9,17.8,87,0,4,4.3,7.6,52.39
21.5,25.6,17,70,0,6.9,4.3,5.4,35.53
21.5,25.6,17,70,0,6.9,4.3,5.4,33.94
22.2,28.2,17.4,69,0,6.9,4.3,5.4,32.82
22.2,28.2,17.4,69,0,6.9,4.3,5.4,37.67
21.1,28.8,18.2,85,0,5.5,5.4,7.6,50.47
21.1,28.8,18.2,85,0,5.5,5.4,7.6,54.91
21.7,26,17.6,67,2.79,6.9,3.7,7.6,45.02
21.7,26,17.6,67,2.79,6.9,3.7,7.6,41.66
20.7,26.4,18,73,0,6.3,3.3,7.6,43.29
20.7,26.4,18,73,0,6.3,3.3,7.6,55.31
20.9,25,16.2,75,0,6.9,2.2,5.4,47.86
20.9,25,16.2,75,0,6.9,2.2,5.4,30.24
21.9,27.4,18,72,0,6.3,3.3,7.6,33.96
21.9,27.4,18,72,0,6.3,3.3,7.6,36.3
21.6,28.6,19.8,83,0,6.3,3.9,7.6,35.6
21.6,28.6,19.8,83,0,6.3,3.9,7.6,41.83
22.3,27.2,19,73,0,6.3,3,5.4,47.39
22.3,27.2,19,73,0,6.3,3,5.4,39.39
23.4,29.6,18,66,0,6.6,2.2,5.4,42.58
23.4,29.6,18,66,0,6.6,2.2,5.4,48.75
21.9,28.1,17.5,74,0,6.3,4.8,7.6,56.2
21.9,28.1,17.5,74,0,6.3,4.8,7.6,53.75
22,27.2,19.2,75,0,6.9,3.3,5.4,70.78
22,27.2,19.2,75,0,6.9,3.3,5.4,55.66
22.2,26,19.4,77,0,5.5,2,5.4,57.89
22.2,26,19.4,77,0,5.5,2,5.4,41.84
23.4,28.4,19.4,68,0,6.9,3.5,5.4,44.33
23.4,28.4,19.4,68,0,6.9,3.5,5.4,38.66
22.2,26.2,18.8,68,0,6.3,5,7.6,38.88
22.2,26.2,18.8,68,0,6.3,5,7.6,41.48
22.7,28.6,18.2,61,0,6.3,3,5.4,39.57
22.7,28.6,18.2,61,0,6.3,3,5.4,34.62
23.1,29.8,18,60,0,6.9,1.9,3.5,34.77
23.1,29.8,18,60,0,6.9,1.9,3.5,29.97
22.9,27.6,17.4,53,0,8,0.6,3.5,33.96
22.9,27.6,17.4,53,0,8,0.6,3.5,26.15
21.9,29,16.4,51,0,6.9,4.4,5.4,24.15
21.9,29,16.4,51,0,6.9,4.4,5.4,29.66
21,29.5,14.4,51,0,6.9,2.8,5.4,38.15
21,29.5,14.4,51,0,6.9,2.8,5.4,43.31
23.3,28.6,19.2,65,0,6.9,2.4,5.4,40.62
23.3,28.6,19.2,65,0,6.9,2.4,5.4,30.16
23.3,29.8,17.7,55,0,6.3,3.7,7.6,40.28
23.3,29.8,17.7,55,0,6.3,3.7,7.6,50.85
22.6,31,17.2,47,0,6.9,3.7,7.6,25.25
22.6,31,17.2,47,0,6.9,3.7,7.6,27.77
22.6,31.3,15.4,33,0,6.9,3.9,5.4,27.47
22.6,31.3,15.4,33,0,6.9,3.9,5.4,24.89
23.4,31.7,15.5,37,0,7.7,1.3,3.5,28.45
23.4,31.7,15.5,37,0,7.7,1.3,3.5,32.46
23.9,32.7,15.9,45,0,7.7,2.8,5.4,22.01
23.9,32.7,15.9,45,0,7.7,2.8,5.4,22.54
25.1,33.4,19,50,0,6.9,2,5.4,27.12
25.1,33.4,19,50,0,6.9,2,5.4,34.12
23.4,32.7,18.8,55,0,6.3,4.1,7.6,31.93
23.4,32.7,18.8,55,0,6.3,4.1,7.6,30.26
22.9,30.5,17.4,54,0,6.9,4.6,5.4,22.68
22.9,30.5,17.4,54,0,6.9,4.6,5.4,15.14
23.3,29.2,17.2,43,0,6.9,3,5.4,18.39
23.3,29.2,17.2,43,0,6.9,3,5.4,23.32
23.7,31,18,52,0,6.6,2.2,59.4,30.06
23.7,31,18,52,0,6.6,2.2,59.4,26.99
24.4,30.8,19,53,0,6.9,3.1,3.5,22.38
24.4,30.8,19,53,0,6.9,3.1,3.5,25.61
23.8,31.6,18.2,55,0,6.3,3.7,9.4,30.24
23.8,31.6,18.2,55,0,6.3,3.7,9.4,33.62
24.5,31,18.6,46,0,6.9,4.1,5.4,25.27
24.5,31,18.6,46,0,6.9,4.1,5.4,40
24.7,32.2,18,44,0,6.9,2,5.4,34.03
24.7,32.2,18,44,0,6.9,2,5.4,24.22
25.2,32.3,17.6,31,0,6.3,1.3,3.5,19.42
25.2,32.3,17.6,31,0,6.3,1.3,3.5,17.04
23.8,32.6,17.6,46,0,6.9,4.1,7.6,19.95
23.8,32.6,17.6,46,0,6.9,4.1,7.6,26.1
23.7,31.5,16.5,38,0,6.3,4.8,7.6,26.25
23.7,31.5,16.5,38,0,6.3,4.8,7.6,25.98
24,32.6,16.6,38,0,6.3,3.9,7.6,21.32
24,32.6,16.6,38,0,6.3,3.9,7.6,19.25
25,31,18,46,0,6.3,4.3,9.4,20.74
25,31,18,46,0,6.3,4.3,9.4,13.68
25.4,32.5,19.4,53,0,6.3,4.3,5.4,20.3
25.4,32.5,19.4,53,0,6.3,4.3,5.4,24.81
25.2,32.4,20.4,52,0,6.3,3.5,7.6,18.36
25.2,32.4,20.4,52,0,6.3,3.5,7.6,22.35
25.5,32.8,20.2,52,0,6.3,3.1,5.4,26.1
25.5,32.8,20.2,52,0,6.3,3.1,5.4,29.23
24.5,32.3,20.4,57,0,6.3,2.2,3.5,23.02
24.5,32.3,20.4,57,0,6.3,2.2,3.5,26.87
25.8,30.6,20,51,0,6.3,1.5,3.5,17.61
25.8,30.6,20,51,0,6.3,1.5,3.5,21.05
26.1,33.4,22.3,60,1.02,6.3,1.3,3.5,24.29
26.1,33.4,22.3,60,1.02,6.3,1.3,3.5,20.58
26.4,32.3,22,58,0,6.9,1.9,3.5,15.43
26.4,32.3,22,58,0,6.9,1.9,3.5,14.56
26.4,33.3,21.6,57,0,6.9,2,5.4,24.81
26.4,33.3,21.6,57,0,6.9,2,5.4,17.34
26.4,34.4,21,42,0,7.7,1.9,3.5,23.44
26.4,34.4,21,42,0,7.7,1.9,3.5,21.25
26.9,33.8,20.4,37,0,6.9,1.3,3.5,16.82
26.9,33.8,20.4,37,0,6.9,1.3,3.5,23.81
26.6,34.4,20.5,42,0,6.3,4.4,7.6,17.9
26.6,34.4,20.5,42,0,6.3,4.4,7.6,19.53
27.6,35.2,20.9,34,0,6.3,1.1,3.5,18.13
27.6,35.2,20.9,34,0,6.3,1.1,3.5,19.52
25.4,35.2,22.6,64,2.03,6.9,3.5,5.4,18.62
25.4,35.2,22.6,64,2.03,6.9,3.5,5.4,21.06
27.4,34.1,22,45,1.015,6.9,2.4,5.4,22.25
27.4,34.1,22,45,1.015,6.9,2.4,5.4,19.81
26.8,34.7,21,42,0,6.9,1.1,5.4,28.46
26.8,34.7,21,42,0,6.9,1.1,5.4,23.16
26.9,33,20.6,42,0,6.9,3,5.4,15.87
26.9,33,20.6,42,0,6.9,3,5.4,23.32
26.4,33.8,19.6,35,0,6.3,3.3,5.4,9.16
26.4,33.8,19.6,35,0,6.3,3.3,5.4,8.95
27.8,36.1,19.6,33,0,6.3,2.4,5.4,9.69
27.8,36.1,19.6,33,0,6.3,2.4,5.4,10.91
28.8,35.4,21,29,0,6.9,2.8,7.6,22.88
28.8,35.4,21,29,0,6.9,2.8,7.6,18.18
28.8,36,22,36,0,6.9,3,7.6,17.6
28.8,36,22,36,0,6.9,3,7.6,20.16
28.5,35.8,23,41,0,7.4,3.3,5.4,21.7
28.5,35.8,23,41,0,7.4,3.3,5.4,25.44
25,35.6,21,66,29.97,6.9,3,5.4,16.53
25,35.6,21,66,29.97,6.9,3,5.4,16.84
26.8,32.8,21,56,0,6.9,1.9,7.6,16.79
26.8,32.8,21,56,0,6.9,1.9,7.6,16.66
24.9,33.7,19,69,0,6.8,2.2,9.4,19.57
24.9,33.7,19,69,0,6.8,2.2,9.4,17.07
27.6,34,20.5,35,0,6.9,2.8,5.4,18.29
27.6,34,20.5,35,0,6.9,2.8,5.4,28.32
27.3,34.8,19.6,29,0,6.9,2.8,9.4,21.55
27.3,34.8,19.6,29,0,6.9,2.8,9.4,18.32
27.7,34.6,20.8,42,0,6.9,1.3,3.5,18.18
27.7,34.6,20.8,42,0,6.9,1.3,3.5,15.65
28.2,34.4,24,48,0,6.9,2.8,5.4,20.38
28.2,34.4,24,48,0,6.9,2.8,5.4,19.72
28.2,34.2,22.6,43,0,6.9,3.3,5.4,16.93
28.2,34.2,22.6,43,0,6.9,3.3,5.4,15.4
28,34.2,22.3,45,0,6.9,2,5.4,16.6
28,34.2,22.3,45,0,6.9,2,5.4,20.44
25.8,30.8,22.7,65,0,4,3,7.6,28.68
25.8,30.8,22.7,65,0,4,3,7.6,14.47
26.7,32,22.6,64,0,6.9,3.3,7.6,17.5
14.3,14.5,14.1,97,0,1,13.9,22.2,23.12
14.3,14.5,14.1,97,0,1,13.9,22.2,21.25
14.7,15.3,13.6,98,0,0.5,8.3,11.1,16.94
14.7,15.3,13.6,98,0,0.5,8.3,11.1,15.29
15.7,17.9,13.5,95,0,1.4,3.7,9.4,20.75
15.7,17.9,13.5,95,0,1.4,3.7,9.4,11.21
15.8,25.1,9.6,67,0,3.5,8.1,14.8,11.81
15.8,25.1,9.6,67,0,3.5,8.1,14.8,17.7
15.3,22.6,10,68,0,3.5,3,11.1,20.41
15.3,22.6,10,68,0,3.5,3,11.1,17.21
15.2,23.6,9,62,0,3.1,3,7.6,12.65
15.2,23.6,9,62,0,3.1,3,7.6,3.4
15.5,23.5,9.2,71,0,3.5,4.8,14.8,7.23
15.5,23.5,9.2,71,0,3.5,4.8,14.8,8.7
16.7,25.7,9.6,64,0,3.7,7,18.3,6.53
16.7,25.7,9.6,64,0,3.7,7,18.3,20.86
15.6,22.4,11,79,0,1.6,8.3,14.8,24.92
15.6,22.4,11,79,0,1.6,8.3,14.8,28.1
15,22.7,9,60,0,3.2,10.4,14.8,26.41
15,22.7,9,60,0,3.2,10.4,14.8,32.5
17.3,24,9.2,58,0,3.5,7.8,9.4,39.74
17.3,24,9.2,58,0,3.5,7.8,9.4,52.66
19.9,26.6,13.4,55,0,4,11.1,14.8,36.92
19.9,26.6,13.4,55,0,4,11.1,14.8,42.55
16.6,21.2,14,93,0,1,10,14.8,53.12
16.6,21.2,14,93,0,1,10,14.8,48.92
16,19.6,14.3,95,0,0.5,8.9,14.8,55.86
16,19.6,14.3,95,0,0.5,8.9,14.8,44.56
15,16.7,14.1,96,0,0.6,9.4,14.8,49.07
15,16.7,14.1,96,0,0.6,9.4,14.8,53.62
15.9,24.3,8.4,60,0,3.5,3.1,9.4,60.57
15.9,24.3,8.4,60,0,3.5,3.1,9.4,69.65
19.4,28.1,11.4,54,0,3.7,10.2,14.8,70.39
19.4,28.1,11.4,54,0,3.7,10.2,14.8,86.57
21.5,28.8,15.6,55,0,4,12.8,14.8,98.98
21.5,28.8,15.6,55,0,4,12.8,14.8,84.03
22.4,29.3,17.9,67,0,4,13,22.2,49.01
22.4,29.3,17.9,67,0,4,13,22.2,50.81
19,26.1,13.8,74,0,3.7,1.9,14.8,82.8
19,26.1,13.8,74,0,3.7,1.9,14.8,52.39
18.3,24.2,14.5,72,0,3.7,11.3,18.3,61.4
18.3,24.2,14.5,72,0,3.7,11.3,18.3,77.79
17.8,24.3,11.8,68,0,4,5,14.8,41.17
17.8,24.3,11.8,68,0,4,5,14.8,32.48
18.6,25.8,11.8,55,0,3.7,3.7,18.3,76.75
18.6,25.8,11.8,55,0,3.7,3.7,18.3,84.25
21.1,30.9,12.2,49,0,4,6.5,18.3,59.49
21.1,30.9,12.2,49,0,4,6.5,18.3,41.34
21.5,29.9,14.6,54,0,4,5.4,18.3,62.23
21.5,29.9,14.6,54,0,4,5.4,18.3,65.74
23.8,31.7,15.2,44,0,4,4.8,9.4,80.33
23.8,31.7,15.2,44,0,4,4.8,9.4,65.45
24.6,32.7,18.4,43,0,4,4.6,9.4,44.76
24.6,32.7,18.4,43,0,4,4.6,9.4,101.67
23.7,32.1,16.8,48,0,4,3,11.1,99.16
23.7,32.1,16.8,48,0,4,3,11.1,92.96
25.6,33.9,18.6,41,0,4,10.4,18.3,82.3
25.6,33.9,18.6,41,0,4,10.4,18.3,89.84
23,30.4,18,48,0,4,11.3,25.9,84.8
23,30.4,18,48,0,4,11.3,25.9,111.07
21.3,30.7,16,37,0,4,10.4,18.3,111.98
21.3,30.7,16,37,0,4,10.4,18.3,100.68
16.2,16.6,15.8,95,0,3.5,16.9,25.9,76.82
16.2,16.6,15.8,95,0,3.5,16.9,25.9,76.28
18.8,25.2,15,80,0,3.7,13.5,20.6,73.75
18.8,25.2,15,80,0,3.7,13.5,20.6,108.95
19.6,25.8,15.2,56,0,3.7,10.4,18.3,119.3
19.6,25.8,15.2,56,0,3.7,10.4,18.3,111.51
24.4,31.3,17.4,40,0,4,8.3,16.5,107.39
24.4,31.3,17.4,40,0,4,8.3,16.5,98.08
24.6,32.5,18.7,47,0,4,6.7,14.8,88.87
24.6,32.5,18.7,47,0,4,6.7,14.8,136.42
22.9,30.1,16.4,51,0,4,13.7,22.2,120.33
22.9,30.1,16.4,51,0,4,13.7,22.2,94.52
18.7,22.8,15.6,81,0.25,4,12,18.3,97.46
18.7,22.8,15.6,81,0.25,4,12,18.3,102.14
18.8,21.2,15.6,88,6.1,3.2,10.6,18.3,106.73
18.8,21.2,15.6,88,6.1,3.2,10.6,18.3,93.3
21.1,26.8,15.8,81,21.08,3.1,14.1,18.3,58.17
21.1,26.8,15.8,81,21.08,3.1,14.1,18.3,54.73
22.9,30.3,13.1,50,0,4,4.4,11.1,62.92
22.9,30.3,13.1,50,0,4,4.4,11.1,113.84
25.3,32.4,16,41,0,4,1.1,9.4,132.79
25.3,32.4,16,41,0,4,1.1,9.4,122.7
27.1,34.9,19,41,0,4,0.7,5.4,119.7
27.1,34.9,19,41,0,4,0.7,5.4,114.08
30.1,36.9,22,32,0,4,3,11.1,86.48
30.1,36.9,22,32,0,4,3,11.1,48.52
28.8,36.2,22.2,36,0,4,4.6,11.1,70.34
28.8,36.2,22.2,36,0,4,4.6,11.1,69.58
29.3,36.9,20.3,35,0,4,2.4,11.1,68.18
29.3,36.9,20.3,35,0,4,2.4,11.1,98.75
28.3,35.8,20.4,33,0,4,11.9,27.8,82.89
28.3,35.8,20.4,33,0,4,11.9,27.8,73.27
29.1,36.7,20.4,33,0,4,3.9,11.1,92.61
29.1,36.7,20.4,33,0,4,3.9,11.1,80.04
29.7,37.3,20.8,35,0,4,10.4,22.2,78.56
29.7,37.3,20.8,35,0,4,10.4,22.2,71.6
29.7,37.8,23.4,33,0,4,13.1,24.1,76.98
29.7,37.8,23.4,33,0,4,13.1,24.1,115.82
28.1,35.3,22,36,0,4,10,14.8,77.06
28.1,35.3,22,36,0,4,10,14.8,58.7
29.7,37.5,20.7,30,0,4,7.2,9.4,45.61
29.7,37.5,20.7,30,0,4,7.2,9.4,65.61
29.7,37.2,21.9,29,0,4,10.4,14.8,67.7
29.7,37.2,21.9,29,0,4,10.4,14.8,116.65
21,25.8,18.2,71,1.02,4,9.4,18.3,100.55
21,25.8,18.2,71,1.02,4,9.4,18.3,84.46
22.9,30.5,18.9,63,0,4,9.4,22.2,96.58
22.9,30.5,18.9,63,0,4,9.4,22.2,93.38
24.5,31.2,17.8,60,0.76,4,8.5,14.8,75.17
24.5,31.2,17.8,60,0.76,4,8.5,14.8,45.49
34.4,42.7,26,24,0,4,14.8,22.2,65.96
34.4,42.7,26,24,0,4,14.8,22.2,74.62
33.9,41.8,26,24,0,4,16.5,27.8,78.07
33.9,41.8,26,24,0,4,16.5,27.8,65.94
34.5,41.6,24.4,19,0,4,15,22.2,65.7
34.5,41.6,24.4,19,0,4,15,22.2,70.03
32,41.3,24.9,21,0,4,12.2,27.8,62.95
32,41.3,24.9,21,0,4,12.2,27.8,85.64
32.5,40.7,25.4,23,0,3.7,12.2,27.8,105.95
32.5,40.7,25.4,23,0,3.7,12.2,27.8,134.02
34.4,41.9,25.6,22,0,4,16.7,22.2,80.47
34.4,41.9,25.6,22,0,4,16.7,22.2,87.22
32.7,40.4,25.4,19,0,3.5,18,27.8,61.76
32.7,40.4,25.4,19,0,3.5,18,27.8,52
33.1,40.4,23.4,22,0,4,12,14.8,66.21
33.1,40.4,23.4,22,0,4,12,14.8,77.7
33.3,39.8,24,22,0,4,8.7,14.8,65.7
33.3,39.8,24,22,0,4,8.7,14.8,55.61
33.8,42.7,24.5,19,0,4,11.9,18.3,80.92
33.8,42.7,24.5,19,0,4,11.9,18.3,78.94
35.2,43.1,26.4,18,0,4,11.3,22.2,59.64
35.2,43.1,26.4,18,0,4,11.3,22.2,51.51
35.2,41.9,27.3,20,1.02,4,16.9,29.4,26.35
35.2,41.9,27.3,20,1.02,4,16.9,29.4,61.02
32.4,40.5,26.2,42,3.05,4,13,18.3,41.52
32.4,40.5,26.2,42,3.05,4,13,18.3,35.23
30.2,35.6,25.4,48,0.76,4,10.4,18.3,34.11
30.2,35.6,25.4,48,0.76,4,10.4,18.3,37.8
32.1,39.6,25.8,33,0,4,11.3,29.4,48.21
32.1,39.6,25.8,33,0,4,11.3,29.4,62.84
36.8,45,28.6,21,0,4,21.3,29.4,53.09
36.8,45,28.6,21,0,4,21.3,29.4,60.4
36.9,43.9,26.2,23,0,4,18.9,29.4,53.49
36.9,43.9,26.2,23,0,4,18.9,29.4,45.82
36.6,43.6,30,22,0,4,19.1,27.8,49.99
36.6,43.6,30,22,0,4,19.1,27.8,46.41
36.1,42.9,29.9,35,0,4,21.9,29.4,58.48
36.1,42.9,29.9,35,0,4,21.9,29.4,87.83
37.7,43.3,29.9,26,0,4,24.8,35.2,57.25
37.7,43.3,29.9,26,0,4,24.8,35.2,49
36.4,42.6,30.4,28,0,4,21.3,37,43.85
